Portfolio,Current Holding,Holding Name,Holding Sector,Holding Quant,Holding Score,Holding Val,Holding Growth,Holding Profit,Holding Mom,Holding Rev,Holding Analyst,Holding Upside,Holding FSI,Alt Ticker,Alt Name,Alt Quant,Alt Score,Alt Val,Alt Growth,Alt Profit,Alt Mom,Alt Rev,Alt Analyst,Alt Upside,Alt Div Yield,Alt FSI,Score Diff
Power,FN,Fabrinet,Technology,Hold,3.07,C,B+,B-,B+,C,Buy,+12.0%,FSI-SM,LITE,Lumentum Holdings Inc.,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,FSI-SM,0.54
Power,FN,Fabrinet,Technology,Hold,3.07,C,B+,B-,B+,C,Buy,+12.0%,FSI-SM,NVDA,NVIDIA Corporation,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,FSI-LC,0.53
Power,FN,Fabrinet,Technology,Hold,3.07,C,B+,B-,B+,C,Buy,+12.0%,FSI-SM,AVGO,Broadcom Inc.,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,FSI-LC,0.44
Power,VISN,"Vistance Networks, Inc.",Technology,Hold,2.87,B,N/A,B,B-,F,Buy,+30.1%,,LITE,Lumentum Holdings Inc.,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,FSI-SM,0.74
Power,VISN,"Vistance Networks, Inc.",Technology,Hold,2.87,B,N/A,B,B-,F,Buy,+30.1%,,NVDA,NVIDIA Corporation,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,FSI-LC,0.73
Power,VISN,"Vistance Networks, Inc.",Technology,Hold,2.87,B,N/A,B,B-,F,Buy,+30.1%,,AVGO,Broadcom Inc.,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,FSI-LC,0.64
Power,PARR,"Par Pacific Holdings, Inc.",Energy,Hold,3.14,A-,C+,B-,B+,D,Buy,-5.7%,,TPL,Texas Pacific Land Corporation,Buy,4.00,C-,B,A+,A+,A+,Hold,-16.0%,46.0%,FSI-LC,0.86
Power,PARR,"Par Pacific Holdings, Inc.",Energy,Hold,3.14,A-,C+,B-,B+,D,Buy,-5.7%,,AROC,"Archrock, Inc.",Buy,3.63,C,A-,A-,A-,B-,Strong Buy,+6.8%,237.0%,,0.48
Power,PARR,"Par Pacific Holdings, Inc.",Energy,Hold,3.14,A-,C+,B-,B+,D,Buy,-5.7%,,INSW,"International Seaways, Inc.",Buy,3.62,B-,A,A-,A-,D+,Strong Buy,+12.7%,656.0%,,0.48
Power,SYF,Synchrony Financial,Financial Services,Hold,2.70,A-,C,B+,C-,C-,Buy,+40.7%,,ECPG,"Encore Capital Group, Inc.",Buy,4.29,A-,A+,A-,A+,C+,Buy,+23.5%,0.0%,,1.59
Power,SYF,Synchrony Financial,Financial Services,Hold,2.70,A-,C,B+,C-,C-,Buy,+40.7%,,JXN,Jackson Financial Inc.,Buy,4.15,A,A+,C-,A-,A+,None,+19.7%,344.0%,,1.45
Power,SYF,Synchrony Financial,Financial Services,Hold,2.70,A-,C,B+,C-,C-,Buy,+40.7%,,BBT,Beacon Financial Corporation,Buy,3.94,B-,A+,C,A,A,None,+20.2%,448.0%,,1.24
Power,W,Wayfair Inc.,Consumer Cyclical,Hold,2.62,C,B,C-,C-,A,Buy,+43.0%,,TPR,"Tapestry, Inc.",Buy,3.92,D+,A,A,A+,A-,Buy,+12.3%,110.0%,,1.30
